FID,Bacia,Rio,Unidade da Federação,Município,Responsável,Operadora,Tipo,Código,Estação,Latitude,Longitude,Área de Drenagem (km²),Réguas Linimétricas,Registrador de Nível,Medição de Descarga Líquida,Medição de Sedimentos,Medição de Qualidade da Água,Estação Telemétrica,Operando,Início (Réguas),Início (Registrador de Nível),Início (Descarga Líquida),Início (Sedimentos),Início (Qualidade da Água),Pluviômetro,Registrador de Chuva,Tanque Evaporimétrico,Estação Climatológica,Início (Pluviômetro),Início (Registrador Chuva),Início (Tanque Evaporimétrico),Início (Climatológica),Início (Telemetria),x,y
4832,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,MACHADOS,EMATER,EMATER,Pluviométrica,735146,MACHADOS,-7.7,-35.5333333333,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,ago-79,-,-,-,00:00:00,-3955552.572854321,-859751.9518575027
4840,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,APAC-PE,APAC-PE,Pluviométrica,734034,1º BATALHÃO DUARTE COELHO,-7.96083333333,-34.8316666667,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/07/2013,-3877443.396814374,-889061.1003856463
4841,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,CEMADEN,CEMADEN,Pluviométrica,834040,OLINDA_Bonsucesso,-8.00805555556,-34.8511111111,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3879607.9424686874,-894369.3130563197
4842,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,APAC-PE,APAC-PE,Pluviométrica,734035,DEFESA CIVIL OLINDA,-7.98638888889,-34.9088888889,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/07/2013,-3886039.735270076,-891933.7039919054
4843,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,APAC-PE,APAC-PE,Pluviométrica,834018,SALGADINHO,-8.03611111111,-34.8691666667,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/07/2013,-3881617.877719121,-897523.3071159524
4844,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,CEMADEN,CEMADEN,Pluviométrica,734064,OLINDA_Águas Compridas,-7.98305555556,-34.9119444444,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3886379.8781586117,-891559.0063830796
4845,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,CEMADEN,CEMADEN,Pluviométrica,734065,OLINDA_Aguazinha,-7.99888888889,-34.8869444444,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3883596.8908887794,-893338.8472745089
4846,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,CEMADEN,CEMADEN,Pluviométrica,734066,OLINDA_Jardim Fragoso,-7.98388888889,-34.8530555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3879824.3970341193,-891652.6804986352
4847,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,OLINDA,CEMADEN,CEMADEN,Pluviométrica,734067,OLINDA_Tabajara,-7.97305555556,-34.8680555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3881494.189396018,-890434.9318937269
4857,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,PARANATAMA,EMATER,EMATER,Pluviométrica,836080,PARANATAMA,-8.9,-36.65,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jul-79,-,-,-,00:00:00,-4079859.3375734766,-994751.9042886834
