,835030,836009,834016,638013,638012,638004
1962-10-10,,,,,0.0,0.4
1962-10-11,,,,,0.0,0.0
1962-10-12,,,,,0.0,0.0
1962-10-13,,,,,0.0,0.0
1962-10-14,,,,,0.0,0.0
1962-10-15,,,,,0.0,0.0
1962-10-16,,,,,0.0,0.0
1962-10-17,,,,,0.0,0.0
1962-10-18,,,,,0.0,0.0
1962-10-19,,,,,0.0,0.0
1962-10-20,,,,,0.0,0.0
1962-10-21,,,,,0.0,0.0
1962-10-22,,,,,0.0,0.0
1962-10-23,,,,,0.0,0.0
1962-10-24,,,,,0.0,0.0
1962-10-25,,,,,0.0,0.0
1962-10-26,,,,,0.0,0.0
1962-10-27,,,,,0.0,0.0
1962-10-28,,,,,0.0,0.0
1962-10-29,,,,,0.0,0.0
1962-10-30,,,,,0.0,0.0
1962-11-01,,,,,0.0,0.0
1962-11-02,,,,,0.0,0.0
1962-11-03,,,,,0.0,0.0
1962-11-04,,,,,0.0,0.0
1962-11-05,,,,,0.0,0.0
1962-11-06,,,,,0.0,0.0
1962-11-07,,,,,2.2,2.2
1962-11-08,,,,,0.7,0.0
1962-11-09,,,,,0.0,0.0
1962-11-10,,,,,0.0,0.0
1962-11-11,,,,,0.0,0.0
1962-11-12,,,,,0.0,0.0
1962-11-13,,,,,0.0,0.0
1962-11-14,,,,,0.0,0.0
1962-11-15,,,,,0.0,0.0
1962-11-16,,,,,0.0,0.0
1962-11-17,,,,,0.0,0.0
1962-11-18,,,,,0.2,0.0
1962-11-19,,,,,16.9,0.7
1962-11-20,,,,,0.7,1.8
1962-11-21,,,,,0.0,0.0
1962-11-22,,,,,0.0,0.0
1962-11-23,,,,,0.0,0.7
1962-11-24,,,,,0.0,0.0
1962-11-25,,,,,0.0,0.0
1962-11-26,,,,,0.0,0.0
1962-11-27,,,,,0.0,0.0
1962-11-28,,,,,0.4,0.0
1962-11-29,,,,,0.1,0.0
1962-12-01,,,,,0.0,0.0
1962-12-02,,,,,0.0,0.0
1962-12-03,,,,,0.0,0.0
1962-12-04,,,,,0.0,0.0
1962-12-05,,,,,0.0,0.0
1962-12-06,,,,,0.0,0.0
1962-12-07,,,,,0.0,0.0
1962-12-08,,,,,0.0,0.0
1962-12-09,,,,,0.0,0.0
1962-12-10,,,,,0.0,0.0
1962-12-11,,,,,0.0,0.0
1962-12-12,,,,,1.9,0.0
1962-12-13,,,,,0.0,0.0
1962-12-14,,,,,0.0,0.0
1962-12-15,,,,,15.9,0.0
1962-12-16,,,,,1.0,0.0
1962-12-17,,,,,98.1,52.8
1962-12-18,,,,,0.0,0.0
1962-12-19,,,,,0.0,0.0
1962-12-20,,,,,0.0,0.0
1962-12-21,,,,,0.0,0.0
1962-12-22,,,,,0.0,0.0
1962-12-23,,,,,0.0,0.0
1962-12-24,,,,,0.0,0.0
1962-12-25,,,,,0.0,0.0
1962-12-26,,,,,0.0,0.0
1962-12-27,,,,,0.0,0.0
1962-12-28,,,,,0.0,0.0
1962-12-29,,,,,0.0,0.0
1962-12-30,,,,,0.0,0.0
1963-01-01,0.0,0.0,,,0.0,0.0
